Nodes: 300
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.198476 4.202079
1: 0.274672 71.934844
2: 0.828673 77.050764
3: 0.981160 133.226411
4: 1.052273 34.499386
5: 1.225312 40.965363
6: 1.829607 23.902345
7: 2.845342 104.697021
8: 4.785930 15.069648
9: 5.591090 141.763226
10: 6.064839 23.101022
11: 6.188401 70.594976
12: 6.276603 45.545287
13: 6.934595 132.298235
14: 7.239220 42.723701
15: 8.544751 90.161051
16: 8.549317 32.928646
17: 9.717538 30.845755
18: 10.499977 51.350803
19: 10.787850 56.683973
20: 10.940189 140.818865
21: 11.076472 132.542089
22: 11.275837 18.349030
23: 12.357395 31.606968
24: 13.004661 126.970087
25: 13.547212 70.886812
26: 13.781187 48.438387
27: 14.159204 118.890787
28: 14.384802 138.165465
29: 14.388755 37.947475
30: 14.985326 46.542684
31: 15.456367 135.133322
32: 16.362214 23.490581
33: 16.476353 67.208312
34: 16.943238 127.658670
35: 17.698277 103.816443
36: 18.105155 6.953489
37: 18.981560 45.152616
38: 19.282904 101.192481
39: 20.484525 1.367611
40: 20.585031 16.352067
41: 20.628485 116.175699
42: 20.645238 151.173414
43: 20.847412 142.191627
44: 21.639005 40.804013
45: 21.810395 83.255808
46: 22.329145 77.383359
47: 22.525660 100.924292
48: 22.959516 139.490743
49: 23.078504 70.702018
50: 24.135271 114.582129
51: 24.960256 90.753378
52: 25.905053 19.488409
53: 26.326735 96.518325
54: 26.863807 32.129157
55: 28.391287 82.758217
56: 28.456107 88.067619
57: 28.644048 103.016876
58: 28.847348 137.734869
59: 29.554835 40.992093
60: 30.433665 115.901963
61: 30.860527 134.154083
62: 31.083259 61.005748
63: 31.870941 54.161763
64: 32.531210 125.232031
65: 32.640520 102.220291
66: 33.065632 13.565665
67: 33.934140 26.231224
68: 34.212427 116.474115
69: 34.355941 46.151725
70: 34.745539 123.939046
71: 35.017366 144.646529
72: 35.347636 80.293812
73: 35.664058 74.805684
74: 35.673278 130.586346
75: 36.886471 147.845246
76: 37.034048 92.894215
77: 37.059430 120.340005
78: 37.358171 124.941290
79: 37.643526 70.976447
80: 37.714767 65.112719
81: 38.641265 23.577359
82: 39.458048 92.190713
83: 39.474132 12.576028
84: 39.740640 110.183193
85: 39.882135 71.706532
86: 40.136691 0.516878
87: 40.501619 144.926902
88: 41.040141 69.732165
89: 41.365794 123.836347
90: 41.745017 64.254662
91: 42.449634 68.270951
92: 42.546128 15.695820
93: 43.201489 81.055785
94: 44.368583 95.778267
95: 45.148005 114.959059
96: 45.504336 54.584748
97: 45.723364 77.442530
98: 46.235718 139.686050
99: 46.336962 11.561574
100: 46.949694 13.941622
101: 49.043893 148.554158
102: 49.103157 50.246445
103: 49.487748 57.950605
104: 49.649004 21.585765
105: 49.781335 135.015174
106: 50.093122 139.066988
107: 50.521190 40.415399
108: 50.871868 7.813305
109: 51.300611 148.592401
110: 51.677855 96.085802
111: 52.232858 121.505129
112: 53.089144 85.734378
113: 53.473030 19.750294
114: 53.652528 16.852689
115: 53.795852 106.609151
116: 54.436377 52.553303
117: 54.721706 30.719102
118: 54.745635 1.353903
119: 54.770776 61.344212
120: 55.230179 26.654472
121: 56.452969 23.778312
122: 57.199935 149.510808
123: 58.007280 69.348967
124: 58.380470 39.428944
125: 59.215460 134.381436
126: 60.468454 107.239660
127: 60.476701 80.360618
128: 60.742478 39.695423
129: 61.495531 148.610216
130: 62.300785 6.303018
131: 62.351627 105.670023
132: 63.947475 42.747615
