Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.203190 100.914057
1: 0.209424 54.703853
2: 0.516113 95.487907
3: 0.591584 91.021615
4: 1.451827 41.291234
5: 1.576634 61.801909
6: 1.638242 30.406167
7: 1.806718 24.904268
8: 3.081608 20.713831
9: 3.088137 32.194490
10: 3.302390 27.280181
11: 3.680196 9.671685
12: 4.097576 77.328557
13: 5.494779 3.022424
14: 5.530827 7.587379
15: 5.802578 98.366588
16: 6.638377 78.860541
17: 6.828933 35.119714
18: 7.889557 60.205466
19: 7.962511 50.760822
20: 8.659584 37.652146
21: 8.835076 12.449744
22: 9.171189 88.124468
23: 11.839766 13.125787
24: 12.121570 37.864711
25: 12.534850 4.440130
26: 12.629612 23.632476
27: 12.703805 94.688901
28: 13.081360 47.982305
29: 13.472955 15.928122
30: 13.574407 33.861077
31: 13.582644 28.941351
32: 13.920539 92.035681
33: 14.025134 45.393104
34: 14.463864 86.418107
35: 15.041334 82.939702
36: 16.712124 98.123650
37: 16.904116 43.686460
38: 17.643582 71.746284
39: 18.769137 78.536531
40: 19.777347 4.517133
41: 20.225196 29.550532
42: 20.365074 82.862303
43: 20.910865 7.681897
44: 21.020613 53.757943
45: 21.331784 65.778740
46: 21.469639 88.260882
47: 21.684189 35.044046
48: 21.841698 15.482018
49: 21.842242 70.852614
50: 22.219338 67.765786
51: 22.754398 46.897587
52: 23.909113 52.994236
53: 24.555243 92.183309
54: 26.079727 85.275069
55: 26.396959 39.552682
56: 26.709340 50.110283
57: 28.377866 88.935473
58: 29.048020 15.903910
59: 29.215054 49.752805
60: 29.527609 80.620657
61: 30.302605 24.278146
62: 30.577450 14.099884
63: 30.699470 0.941450
64: 31.241803 21.440087
65: 32.123859 3.841412
66: 32.644459 88.246488
67: 33.092439 70.581555
68: 33.134281 25.457317
69: 33.399097 44.450060
70: 34.490218 57.404807
71: 34.856255 31.785628
72: 36.427243 94.865540
73: 37.219598 31.748029
74: 37.241972 49.578417
75: 37.282885 61.276921
76: 37.451068 44.594412
77: 37.817186 9.373870
78: 39.662449 65.031498
79: 39.802424 40.502904
80: 40.019794 17.998189
81: 40.102843 100.255427
82: 40.416961 51.163966
83: 40.676583 45.514573
84: 40.805265 86.105482
85: 41.216418 69.538380
86: 42.217700 5.979509
87: 42.468176 11.261390
88: 44.802080 92.580329
89: 45.168621 51.606877
90: 45.500071 90.298864
91: 45.656817 43.403275
92: 45.692843 18.419538
93: 46.490466 35.205467
94: 46.747325 69.333807
95: 47.776394 49.933308
96: 48.023138 83.873730
97: 48.075828 40.005614
98: 48.126590 24.877619
99: 48.233618 43.452983
100: 49.781887 85.018366
101: 50.605815 12.517247
102: 51.136128 80.421732
103: 51.206678 24.691399
104: 53.625005 84.688261
105: 53.634577 13.936237
106: 53.814283 67.207650
107: 54.027450 47.634198
108: 54.311743 51.323219
109: 56.209804 68.612961
110: 56.380036 27.286602
111: 57.164390 95.691798
112: 57.511369 7.803006
113: 57.538018 18.337428
114: 58.400571 37.075640
115: 58.909414 85.737413
116: 60.100506 39.786774
117: 60.133019 62.630974
118: 61.840054 2.195920
119: 61.860712 28.581056
120: 62.538514 22.308031
121: 63.278905 36.676813
122: 63.767216 19.360721
123: 64.153109 38.912369
124: 64.253561 15.915692
125: 64.515385 8.215012
126: 65.494109 92.878193
127: 65.551666 56.698497
128: 65.734137 71.519023
129: 65.854501 61.945085
130: 66.168853 0.495532
131: 66.985807 95.564990
132: 67.546200 7.934422
